Order No,Order Date,Order Year,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
5049-1,30-03-2013,2013,Justin Knight,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Office Shears by Apex,Office Supplies,Small Pack,Regular Air,31-03-2013,$0.94,$2.08,$1.14,4,$8.32,2%,$0.17,$8.15,$2.56,$10.71
5050-1,19-04-2013,2013,Craig Carroll,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,20-04-2013,$5.33,$8.60,$3.27,36,$309.60,6%,$18.58,$291.02,$6.19,$297.21
5052-1,20-04-2013,2013,Laura Armstrong,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Not Specified,EcoTones Memo Sheets,Office Supplies,Wrap Bag,Regular Air,22-04-2013,$2.52,$4.00,$1.48,31,$124.00,1%,$1.24,$122.76,$1.30,$124.06
5055-1,27-04-2013,2013,Noah Childs,"78 Stanley St,Darlinghurst",Sydney,NSW,Home Office,Phoebe Gour,High,Smiths Premium Bright 1-Part Blank Computer Paper,Office Supplies,Small Box,Express Air,28-04-2013,$7.61,$12.28,$4.67,29,$356.12,0%,$0.00,$356.12,$6.35,$362.47
5057-1,28-04-2013,2013,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Medium,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,30-04-2013,$1.59,$2.61,$1.02,9,$23.49,6%,$1.41,$22.08,$0.50,$22.58
5059-1,28-04-2013,2013,Barry Weirich,"1/20 Pendal Lane, Perth",Sydney,NSW,Corporate,Charlie Bui,Medium,Beekin 105-Key Black Keyboard,Technology,Small Box,Regular Air,28-04-2013,$6.39,$19.98,$13.59,7,$139.86,1%,$1.40,$138.46,$4.00,$142.46
5060-1,30-04-2013,2013,Kelly Williams,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Medium,Adesso Programmable 142-Key Keyboard,Technology,Small Box,Express Air,01-05-2013,$32.02,$152.48,$120.46,16,"$2,439.68",10%,$243.97,"$2,195.71",$4.00,"$2,199.71"
5061-1,30-04-2013,2013,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,Mihael Khan,Not Specified,Smiths Premium Bright 1-Part Blank Computer Paper,Office Supplies,Small Box,Regular Air,02-05-2013,$7.61,$12.28,$4.67,27,$331.56,3%,$9.95,$321.61,$6.35,$327.96
5062-1,30-04-2013,2013,Pamela Stobb,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Not Specified,TechSavi Access Keyboard,Technology,Small Box,Regular Air,02-05-2013,$10.07,$15.98,$5.91,39,$623.22,9%,$56.09,$567.13,$4.00,$571.13
5063-1,01-05-2013,2013,William Brown,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Smiths SlimLine Pencil Sharpener,Office Supplies,Small Pack,Regular Air,03-05-2013,$4.79,$11.97,$7.18,7,$83.79,5%,$4.19,$79.60,$5.81,$85.41
5064-1,02-05-2013,2013,Nat Carroll,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Artisan Premier Heavy-Duty Binder with Round Locking Rings,Office Supplies,Small Box,Regular Air,03-05-2013,$8.71,$14.28,$5.57,42,$599.76,10%,$59.98,$539.78,$2.99,$542.77
5066-1,02-05-2013,2013,Troy Staebel,"1-2/299 Sussex St,Sydney",Sydney,NSW,Small Business,Aanya Zhang,Critical,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,03-05-2013,$54.29,$90.48,$36.19,15,"$1,357.20",5%,$67.86,"$1,289.34",$19.99,"$1,309.33"
5068-1,03-05-2013,2013,Dario Medina,"60 York St,Sydney",Sydney,NSW,Small Business,Charlie Bui,Critical,Smiths Standard Envelopes,Office Supplies,Small Box,Regular Air,05-05-2013,$3.52,$5.68,$2.16,20,$113.60,7%,$7.95,$105.65,$1.39,$107.04
5070-1,04-05-2013,2013,Lynn Smith,"61A Bay Road,Wollstonecraft",Sydney,NSW,Corporate,Samantha Chairs,Critical,Steady Liquid Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,06-05-2013,$3.47,$6.68,$3.21,41,$273.88,8%,$21.91,$251.97,$1.50,$253.47
5071-1,05-05-2013,2013,Christopher Schild,"4A Lyons St,Strathfield",Sydney,NSW,Corporate,Tina Carlton,Medium,"Laser Neon Mac Format Diskettes, 10/Pack",Technology,Small Pack,Regular Air,06-05-2013,$1.87,$2.23,$0.36,41,$91.24,6%,$5.47,$85.76,$2.83,$88.59
5071-2,05-05-2013,2013,Christopher Schild,"4A Lyons St,Strathfield",Sydney,NSW,Corporate,Tina Carlton,Medium,Steady Liquid Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,06-05-2013,$3.47,$6.68,$3.21,2,$13.36,1%,$0.13,$13.23,$1.50,$14.73
5075-1,05-05-2013,2013,Dave Kipp,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Low,TechSavi Access Keyboard,Technology,Small Box,Regular Air,10-05-2013,$10.07,$15.98,$5.91,34,$543.32,10%,$54.33,$488.99,$4.00,$492.99
5077-1,07-05-2013,2013,Grant Carroll,"10 O'Connell St,Sydney",Sydney,NSW,Small Business,Aanya Zhang,Not Specified,Smiths SlimLine Pencil Sharpener,Office Supplies,Small Pack,Regular Air,09-05-2013,$4.79,$11.97,$7.18,18,$215.46,8%,$17.24,$198.22,$5.81,$204.03
5079-1,09-05-2013,2013,Liz Pelletier,"79 Elliott St,Balmain",Sydney,NSW,Home Office,Aanya Zhang,Critical,1726 Digital Answering Machine,Technology,Medium Box,Express Air,10-05-2013,$8.82,$20.99,$12.17,8,$167.92,9%,$15.11,$152.81,$4.81,$157.62
5081-1,09-05-2013,2013,Thea Hudgings,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,Regular Air,11-05-2013,$1.09,$1.68,$0.59,18,$30.24,6%,$1.81,$28.43,$1.00,$29.43
5084-1,13-05-2013,2013,Alex Russell,"101/12 Victoria Ave, Perth",Melbourne,VIC,Home Office,Connor Betts,Medium,EcoTones Memo Sheets,Office Supplies,Wrap Bag,Express Air,15-05-2013,$2.52,$4.00,$1.48,19,$76.00,9%,$6.84,$69.16,$1.30,$70.46
5086-1,14-05-2013,2013,Eudokia Martin,"412 Brunswick St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,15-05-2013,$13.88,$22.38,$8.50,26,$581.88,10%,$58.19,$523.69,$15.10,$538.79
5087-1,14-05-2013,2013,Scot Wooten,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,Not Specified,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Wrap Bag,Regular Air,16-05-2013,$21.56,$36.55,$14.99,45,"$1,644.75",10%,$164.48,"$1,480.28",$13.89,"$1,494.17"
5089-1,15-05-2013,2013,Jenna Caffey,"470 Anzac Parade,Kingsford",Sydney,NSW,Consumer,Tina Carlton,High,600 Series Non-Flip,Technology,Small Box,Express Air,16-05-2013,$19.78,$45.99,$26.21,14,$643.86,2%,$12.88,$630.98,$4.99,$635.97
5091-1,19-05-2013,2013,Brad Thomas,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,High,"210 Trimline Phone, White",Technology,Medium Box,Regular Air,20-05-2013,$9.91,$15.99,$6.08,7,$111.93,3%,$3.36,$108.57,$11.28,$119.85
5093-1,19-05-2013,2013,Nat Carroll,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,20-05-2013,$3.75,$7.08,$3.33,29,$205.32,4%,$8.21,$197.11,$2.35,$199.46
5095-1,20-05-2013,2013,Roy Skaria,"2/797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Samantha Chairs,High,Aluminum Document Frame,Furniture,Small Pack,Regular Air,21-05-2013,$5.50,$12.22,$6.72,35,$427.70,0%,$0.00,$427.70,$2.85,$430.55
5097-1,20-05-2013,2013,Brad Eason,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Artisan Legal 4-Ring Binder,Office Supplies,Small Box,Regular Air,22-05-2013,$13.64,$20.98,$7.34,47,$986.06,10%,$98.61,$887.45,$1.49,$888.94
5099-1,21-05-2013,2013,Dave Kipp,"221 Barkly St,St Kilda",Melbourne,VIC,Consumer,Yvette Biti,High,Apex Elite Stainless Steel Scissors,Office Supplies,Small Pack,Regular Air,21-05-2013,$3.42,$8.34,$4.92,24,$200.16,10%,$20.02,$180.14,$2.64,$182.78
5101-1,22-05-2013,2013,Thais Sissman,8 Orange Street,Perth,WA,Small Business,Tina Carlton,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Express Air,23-05-2013,$4.59,$7.28,$2.69,2,$14.56,8%,$1.16,$13.40,$11.15,$24.55
5103-1,22-05-2013,2013,Andy Reiter,"30 Wellington Street, Perth",Melbourne,VIC,Corporate,Yvette Biti,Critical,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,24-05-2013,$1.18,$1.88,$0.70,1,$1.88,5%,$0.09,$1.79,$1.49,$3.28
5104-1,23-05-2013,2013,Becky Martin,"22 St Georges Terrace, Perth",Sydney,NSW,Home Office,Tina Carlton,Medium,Alto Keyboard-In-A-Box,Technology,Small Box,Express Air,25-05-2013,$6.40,$29.10,$22.70,33,$960.30,1%,$9.60,$950.70,$4.00,$954.70
5106-1,26-05-2013,2013,Denny Ordway,"523 King St,Newtown",Sydney,NSW,Small Business,Aanya Zhang,Critical,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,26-05-2013,$3.84,$6.30,$2.46,42,$264.60,7%,$18.52,$246.08,$0.50,$246.58
5108-1,27-05-2013,2013,Luke Schmidt,"73 York St,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,UGen Ultra Professional Cordless Optical Suite,Technology,Small Box,Regular Air,28-05-2013,$156.50,$300.97,$144.47,14,"$4,213.58",10%,$421.36,"$3,792.22",$7.18,"$3,799.40"
5109-1,28-05-2013,2013,Kelly Lampkin,"310 Wattle St,Ultimo",Sydney,NSW,Corporate,Aanya Zhang,Low,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Wrap Bag,Regular Air,01-06-2013,$2.29,$3.58,$1.29,38,$136.04,6%,$8.16,$127.88,$1.63,$129.51
5111-1,29-05-2013,2013,Eugene Moren,14/76 Newcastle Street,Perth,WA,Home Office,Mihael Khan,High,Colored Envelopes,Office Supplies,Small Box,Express Air,29-05-2013,$2.25,$3.69,$1.44,35,$129.15,3%,$3.87,$125.28,$2.50,$127.78
5112-1,29-05-2013,2013,Anthony Rawles,"14 Money Street, Perth",Perth,WA,Small Business,Mihael Khan,Medium,Xit Blank Computer Paper,Office Supplies,Small Box,Express Air,29-05-2013,$12.39,$19.98,$7.59,13,$259.74,10%,$25.97,$233.77,$5.77,$239.54
5113-1,31-05-2013,2013,Rick Duston,"260 Marrickville Rd,Marrickville",Sydney,NSW,Corporate,Nicholas Fernandes,Medium,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,Small Box,Regular Air,31-05-2013,$8.92,$29.74,$20.82,14,$416.36,2%,$8.33,$408.03,$6.64,$414.67
5114-1,31-05-2013,2013,Raymond Fair,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Not Specified,TechSavi Cordless Elite Duo,Technology,Small Box,Regular Air,02-06-2013,$60.59,$100.98,$40.39,33,"$3,332.34",5%,$166.62,"$3,165.72",$7.18,"$3,172.90"
5115-1,31-05-2013,2013,Joy Smith,"221 Barkly St,St Kilda",Melbourne,VIC,Consumer,Yvette Biti,Low,"Wirebound Message Book, 4 per Page",Office Supplies,Wrap Bag,Regular Air,04-06-2013,$3.48,$5.43,$1.95,29,$157.47,7%,$11.02,$146.45,$0.95,$147.40
5117-1,02-06-2013,2013,Jim Epp,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Low,Laser DVD-RAM discs,Technology,Small Pack,Regular Air,04-06-2013,$20.18,$35.41,$15.23,38,"$1,345.58",3%,$40.37,"$1,305.21",$1.99,"$1,307.20"
5119-1,04-06-2013,2013,Mike Vittorini,"211/25-29 Dixon St,Haymarket",Sydney,NSW,Small Business,Preston Senome,Not Specified,Artisan Hi-Liter Fluorescent Desk Style Markers,Office Supplies,Wrap Bag,Regular Air,06-06-2013,$1.76,$3.38,$1.62,34,$114.92,7%,$8.04,$106.88,$0.85,$107.73
5120-1,05-06-2013,2013,Neil Knudson,"4A Lyons St,Strathfield",Sydney,NSW,Home Office,Tina Carlton,Critical,Artisan Arch Ring Binders,Office Supplies,Small Box,Express Air,07-06-2013,$36.02,$58.10,$22.08,10,$581.00,9%,$52.29,$528.71,$1.49,$530.20
5122-1,05-06-2013,2013,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Low,UGen Ultra Professional Cordless Optical Suite,Technology,Small Box,Regular Air,05-06-2013,$156.50,$300.97,$144.47,38,"$11,436.86",9%,"$1,029.32","$10,407.54",$7.18,"$10,414.72"
5124-1,06-06-2013,2013,Erica Hernandez,"12 Princess Hwy,Sylvania",Sydney,NSW,Small Business,Nicholas Fernandes,Medium,Apex Elite Stainless Steel Scissors,Office Supplies,Small Pack,Regular Air,08-06-2013,$3.42,$8.34,$4.92,30,$250.20,2%,$5.00,$245.20,$2.64,$247.84
5125-1,07-06-2013,2013,Janet Martin,"24 Addison Rd,Marrickville",Sydney,NSW,Corporate,Radhya Staples,Not Specified,TechSavi Cordless Elite Duo,Technology,Small Box,Regular Air,08-06-2013,$60.59,$100.98,$40.39,29,"$2,928.42",3%,$87.85,"$2,840.57",$7.18,"$2,847.75"
5127-1,09-06-2013,2013,Beth Thompson,"101 Murray Street, Perth",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Deluxe Rollaway Locking File with Drawer,Office Supplies,Small Box,Regular Air,09-06-2013,$178.83,$415.88,$237.05,2,$831.76,7%,$58.22,$773.54,$11.37,$784.91
5128-1,10-06-2013,2013,Nora Paige,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Small Business,Mihael Khan,Medium,EcoTones Memo Sheets,Office Supplies,Wrap Bag,Regular Air,12-06-2013,$2.52,$4.00,$1.48,39,$156.00,8%,$12.48,$143.52,$1.30,$144.82
5129-1,11-06-2013,2013,Jim Kriz,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Consumer,Mihael Khan,Low,Smiths Colored Interoffice Envelopes,Office Supplies,Small Box,Regular Air,13-06-2013,$19.83,$30.98,$11.15,49,"$1,518.02",9%,$136.62,"$1,381.40",$19.51,"$1,400.91"
5131-1,15-06-2013,2013,Steve Nguyen,"61 York St,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Medium,UGen Ultra Professional Cordless Optical Suite,Technology,Small Box,Regular Air,17-06-2013,$156.50,$300.97,$144.47,5,"$1,504.85",7%,$105.34,"$1,399.51",$7.18,"$1,406.69"
5133-1,15-06-2013,2013,Scott Cohen,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,High,Wirebound Voice Message Log Book,Office Supplies,Wrap Bag,Express Air,17-06-2013,$2.90,$4.76,$1.86,27,$128.52,7%,$9.00,$119.52,$0.88,$120.40
5134-1,16-06-2013,2013,Liz MacKendrick,"224A Gertrude St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Low,UGen Ultra Professional Cordless Optical Suite,Technology,Small Box,Regular Air,16-06-2013,$156.50,$300.97,$144.47,1,$300.97,6%,$18.06,$282.91,$7.18,$290.09
5135-1,20-06-2013,2013,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,Medium,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Wrap Bag,Regular Air,21-06-2013,$2.29,$3.58,$1.29,10,$35.80,5%,$1.79,$34.01,$1.63,$35.64
5137-1,21-06-2013,2013,Carlos Meador,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,Tina Carlton,Medium,Multimedia Mailers,Office Supplies,Small Box,Regular Air,22-06-2013,$99.39,$162.93,$63.54,7,"$1,140.51",3%,$34.22,"$1,106.29",$19.99,"$1,126.28"
5138-1,21-06-2013,2013,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,High,Smiths Metal Binder Clips,Office Supplies,Wrap Bag,Express Air,23-06-2013,$1.60,$2.62,$1.02,34,$89.08,8%,$7.13,$81.95,$0.80,$82.75
5140-1,24-06-2013,2013,Paul Lucas,"8 Quay Street,Haymarket",Sydney,NSW,Corporate,Leighton Forrest,High,3Max Organizer Strips,Office Supplies,Small Box,Regular Air,25-06-2013,$3.40,$5.40,$2.00,25,$135.00,9%,$12.15,$122.85,$7.78,$130.63
5142-1,25-06-2013,2013,Aleksandra Gannaway,"508/130 Mounts Bay Road, Perth",Perth,WA,Home Office,Tina Carlton,High,PastelOcean Color Pencil Set,Office Supplies,Wrap Bag,Regular Air,26-06-2013,$11.11,$19.84,$8.73,26,$515.84,7%,$36.11,$479.73,$4.10,$483.83
5144-1,26-06-2013,2013,Roy Collins,6 Brookman Street,Perth,WA,Corporate,Natasha Song,Critical,Smiths Gold Paper Clips,Office Supplies,Wrap Bag,Regular Air,27-06-2013,$1.82,$2.98,$1.16,3,$8.94,9%,$0.80,$8.14,$1.58,$9.72
5148-1,29-06-2013,2013,Eugene Hildebrand,"120 Hardware St,Melbourne",Melbourne,VIC,Home Office,Yvette Biti,Medium,Economy Binders,Office Supplies,Small Box,Regular Air,01-07-2013,$1.33,$2.08,$0.75,44,$91.52,4%,$3.66,$87.86,$1.49,$89.35
5150-1,29-06-2013,2013,Adam Bellavance,"106 Ebley Street,Bondi Junction",Sydney,NSW,Small Business,Leighton Forrest,Not Specified,HFX 6S Scientific Calculator,Technology,Medium Box,Regular Air,01-07-2013,$7.92,$12.99,$5.07,49,$636.51,7%,$44.56,$591.95,$9.44,$601.39
5152-1,30-06-2013,2013,Mitch Gastineau,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,Mihael Khan,Low,Beekin 105-Key Black Keyboard,Technology,Small Box,Regular Air,04-07-2013,$6.39,$19.98,$13.59,19,$379.62,8%,$30.37,$349.25,$4.00,$353.25
5154-1,02-07-2013,2013,Stuart Calhoun,"359 Crown Street,Surry Hills",Sydney,NSW,Consumer,Phoebe Gour,High,"Laser Neon Mac Format Diskettes, 10/Pack",Technology,Small Pack,Express Air,03-07-2013,$1.87,$8.12,$6.25,32,$259.84,8%,$20.79,$239.05,$2.83,$241.88
5156-1,03-07-2013,2013,Denise Leinenbach,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Home Office,Connor Betts,High,Self-Adhesive Removable Labels,Office Supplies,Small Box,Regular Air,05-07-2013,$1.98,$3.15,$1.17,23,$72.45,1%,$0.72,$71.73,$0.49,$72.22
5158-1,03-07-2013,2013,Mitch Webber,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,Tina Carlton,Not Specified,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Small Box,Regular Air,05-07-2013,$16.85,$27.18,$10.33,34,$924.12,10%,$92.41,$831.71,$8.23,$839.94
5159-1,04-07-2013,2013,Sara Luxemburg,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,Critical,Smiths Metal Binder Clips,Office Supplies,Wrap Bag,Regular Air,05-07-2013,$1.60,$2.62,$1.02,21,$55.02,5%,$2.75,$52.27,$0.80,$53.07
5160-1,05-07-2013,2013,Berenike Kampe,"32/82 King Street, Perth",Melbourne,VIC,Corporate,Connor Betts,Not Specified,1726 Digital Answering Machine,Technology,Medium Box,Regular Air,07-07-2013,$8.82,$20.99,$12.17,41,$860.59,2%,$17.21,$843.38,$4.81,$848.19
